name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2023-02-10,24.4,11.7,17.4,24.4,11.7,17.4,-3.5,27.1,0,0,0,,0,0,22.3,10.2,3.9,1019.2,3.3,16,119.5,10.2,5,10,2023-02-10T06:42:44,2023-02-10T17:32:11,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-11,15.5,10.7,13.1,15.5,10.7,13.1,5.8,61.6,0,0,0,,0,0,40.7,12.6,199.6,1013.2,26.9,15.7,82.3,7,6,10,2023-02-11T06:41:48,2023-02-11T17:33:08,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-12,15.3,7.7,11.4,15.3,7.7,11.4,5.6,68.8,0,0,0,,0,0,24.1,12.6,233.7,1012.3,20.2,16,86.5,7.4,5,10,2023-02-12T06:40:50,2023-02-12T17:34:05,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,72287493134"
los angeles,2023-02-13,16.6,9.4,13.2,16.6,9.4,13.2,7.7,69.9,0,0,0,,0,0,18.4,9.2,130.1,1013.7,62.9,16,160.3,13.8,8,10,2023-02-13T06:39:51,2023-02-13T17:35:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-14,15.3,9.8,12.9,15.3,8.5,12.9,3.3,55.9,0,0,0,,0,0,55.4,16.8,304.9,1012.3,67.1,16,58.3,5,5,10,2023-02-14T06:38:51,2023-02-14T17:35:58,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,KLAX,72288023152,F1624,72287493134"
los angeles,2023-02-15,16.9,7.1,11.5,16.9,4.9,10.9,-5,34,0,0,0,,0,0,47.9,12.4,327.8,1019.8,0.6,16,122.1,10.4,5,10,2023-02-15T06:37:49,2023-02-15T17:36:54,0.85,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-16,17.1,5.3,11.4,17.1,5.3,11.4,-6.2,31.7,0,0,0,,0,0,29.5,11,254.8,1023.5,4,15.6,98.6,8.6,4,10,2023-02-16T06:36:47,2023-02-16T17:37:50,0.88,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,KSMO,72295603167,72288023152,72287493134"
los angeles,2023-02-17,19.3,8,13.2,19.3,8,13.2,-7.5,24.3,0,0,0,,0,0,13,9.2,357.5,1017.2,5,15.8,107,9.3,4,10,2023-02-17T06:35:43,2023-02-17T17:38:45,0.92,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-18,19.8,9.1,13.6,19.8,8.8,13.6,-4.2,31.5,0,0,0,,0,0,14.4,10,352.4,1016.3,5.2,16,115,9.9,6,10,2023-02-18T06:34:39,2023-02-18T17:39:40,0.95,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-19,19.6,7.8,13.3,19.6,7.8,13.3,1.5,46.3,0,0,0,,0,0,14.8,14.2,187.7,1017.4,2.2,16,130.3,11.3,5,10,2023-02-19T06:33:33,2023-02-19T17:40:35,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
